  36   12   2 2021    1
  45   12   2 2021    2
  16 -100   2 2021    3
  27 -100   3 2021    4
  42  -98   1 2021    6
  38  -98   1 2021    7
  40    3   2 2021    8
  11   12   2 2021    9
-100 -100   3 2021   10
-100 -100   2 2021   12
  42   12   2 2021   13
-100    5   2 2021   14
-100 -100   2 2021   15
-100 -100   3 2021   16
   7   12   2 2021   17
   4    1   2 2021   18
-100 -100   3 2021   19
-100 -100   3 2021   21
-100    3   2 2021   22
  50   12   2 2021   23
  60 -100   1 2021   24
  55   12   2 2021   25
-100 -100   2 2021   26
-100    8   3 2021   27
  55   12   2 2021   28
-100  -98   3 2021   29
  35   12   2 2021   30
  40   12   1 2021   31
-100   10   3 2021   32
-100   12   2 2021   35
  60   12   3 2021   36
  50   12   2 2021   37
  45   12   2 2021   38
  55   12   2 2021   39
  40   12   3 2021   40
  35   12   2 2021   41
  40   11   3 2021   42
  55   12   2 2021   43
  60 -100   2 2021   44
  45   12   2 2021   45
-100 -100   2 2021   46
-100   12   1 2021   47
-100    9   3 2021   48
  40   12   3 2021   49
   7   11   2 2021   50
-100   12   1 2021   51
-100    9   3 2021   52
-100   12   3 2021   53
-100   12   2 2021   54
  40   12   2 2021   56
-100   11   2 2021   57
-100   12   2 2021   59
  40    9 -97 2021   60
  40   12   3 2021   61
  40   12   2 2021   62
  15   12   2 2021   63
  40   11   2 2021   64
-100 -100   3 2021   65
  60   12   2 2021   66
-100 -100   3 2021   67
-100 -100   3 2021   68
-100   12   3 2021   69
  30   12   2 2021   70
  52 -100   3 2021   71
-100 -100   2 2021   72
  20 -100   2 2021   74
-100 -100   2 2021   75
-100 -100   3 2021   76
  30   12   3 2021   77
  24   12   1 2021   78
  40   12   1 2021   79
  60   12   3 2021   80
-100 -100   1 2021   81
  40   12   2 2021   82
-100 -100   2 2021   83
-100 -100   2 2021   84
  33   11   2 2021   85
-100 -100   3 2021   86
  40  -98   3 2021   88
  40   11   3 2021   89
-100    5   3 2021   90
-100  -90   2 2021   91
-100    2   3 2021   92
-100    3   2 2021   93
  60   12   2 2021   94
-100 -100   1 2021   95
  25    9   2 2021   96
-100    7   1 2021   97
-100 -100   2 2021   98
  40   12   2 2021   99
  40   12   2 2021  100
-100   11   3 2021  101
-100    7   2 2021  102
  40   12   3 2021  103
  30   12   2 2021  104
  50   12   2 2021  105
-100   12   1 2021  106
  40   12   2 2021  107
  60    8   2 2021  108
