  36   65    2    1   12   2 2021    1
  45   60    1    1   12   2 2021    2
  16  -99  -99    1 -100   2 2021    3
  27  -99  -99    1 -100   3 2021    4
  42 -100    2    2  -98   1 2021    6
  38   33    2    2  -98   1 2021    7
  40   20    1    1    3   2 2021    8
  11 -100    2    1   12   2 2021    9
-100   76    1    1 -100   3 2021   10
-100   61    2    3 -100   2 2021   12
  42   37    1    1   12   2 2021   13
-100   23    1    1    5   2 2021   14
-100   71    2    3 -100   2 2021   15
-100   21    1    1 -100   3 2021   16
   7   75    1    1   12   2 2021   17
   4   20    2    1    1   2 2021   18
-100   65    2    1 -100   3 2021   19
-100   56    2    1 -100   3 2021   21
-100   22    2    1    3   2 2021   22
  50   33    2    1   12   2 2021   23
  60 -100    1    1 -100   1 2021   24
  55   31    1    3   12   2 2021   25
-100   55    2    1 -100   2 2021   26
-100   33    2    2    8   3 2021   27
  55   37    1    1   12   2 2021   28
-100   53    1    1  -98   3 2021   29
  35   43    2    1   12   2 2021   30
  40   44    2    3   12   1 2021   31
-100   32    1    2   10   3 2021   32
-100   65    1    1   12   2 2021   35
  60   30    2    3   12   3 2021   36
  50   52    2    1   12   2 2021   37
  45   34    1    1   12   2 2021   38
  55   53    1    1   12   2 2021   39
  40 -100    2    1   12   3 2021   40
  35   62    2    1   12   2 2021   41
  40   62    2    1   11   3 2021   42
  55   42    1    1   12   2 2021   43
  60  -99  -99    1 -100   2 2021   44
  45   29    1    1   12   2 2021   45
-100   53    2    1 -100   2 2021   46
-100   51    2    1   12   1 2021   47
-100   24    2    3    9   3 2021   48
  40   51    1    1   12   3 2021   49
   7   26    2    3   11   2 2021   50
-100   37    1    2   12   1 2021   51
-100   28    2    2    9   3 2021   52
-100   30    1    1   12   3 2021   53
-100   57    1    3   12   2 2021   54
  40   45    1    1   12   2 2021   56
-100   43    2    3   11   2 2021   57
-100   31    2    1   12   2 2021   59
  40   23    2    1    9 -97 2021   60
  40   64    2    1   12   3 2021   61
  40   82    2    1   12   2 2021   62
  15 -100    1    1   12   2 2021   63
  40   58    1    1   11   2 2021   64
-100   89    1    1 -100   3 2021   65
  60   51    1    1   12   2 2021   66
-100   78    1    1 -100   3 2021   67
-100 -100    2    1 -100   3 2021   68
-100 -100    1    3   12   3 2021   69
  30  -99    1    1   12   2 2021   70
  52   42    2    1 -100   3 2021   71
-100   64    1    1 -100   2 2021   72
  20   51    2    1 -100   2 2021   74
-100 -100    2    1 -100   2 2021   75
-100   51    2    3 -100   3 2021   76
  30   50    1    3   12   3 2021   77
  24   55    2    3   12   1 2021   78
  40   57    1    3   12   1 2021   79
  60   62    1    1   12   3 2021   80
-100   62    2    1 -100   1 2021   81
  40   33    1    1   12   2 2021   82
-100   72    2    1 -100   2 2021   83
-100   64    2    2 -100   2 2021   84
  33   42    1    1   11   2 2021   85
-100   73    2    1 -100   3 2021   86
  40   49    1    1  -98   3 2021   88
  40   63    2    2   11   3 2021   89
-100   32    2    2    5   3 2021   90
-100   22    1    2  -90   2 2021   91
-100   65    1    1    2   3 2021   92
-100   71    2    1    3   2 2021   93
  60   43    1    1   12   2 2021   94
-100   55    2    1 -100   1 2021   95
  25   33    2    1    9   2 2021   96
-100   28    1    2    7   1 2021   97
-100   62    2    2 -100   2 2021   98
  40   55    2    2   12   2 2021   99
  40   41    1    1   12   2 2021  100
-100   66    1    1   11   3 2021  101
-100   74    1    1    7   2 2021  102
  40 -100    2    1   12   3 2021  103
  30   51    1    1   12   2 2021  104
  50   66    2    1   12   2 2021  105
-100   70    1    1   12   1 2021  106
  40 -100    2 -100   12   2 2021  107
  60   57    2    1    8   2 2021  108
  50   60    1    3  -98   1 2021  109
  40   41    1    1   12   1 2021  111
  40   56    1    1  -98   1 2021  113
  40   46    2    1   12   1 2021  114
  40   41    2    1   12   2 2021  115
-100   22    2    1 -100   2 2021  116
  40   61    1    3   12   1 2021  117
  14   79    1    1   12   2 2021  118
  40   38    1    1   12   2 2021  119
  40   64    2    2   12   3 2021  120
-100   68    1    2 -100   2 2021  121
-100   28    1    1   12   3 2021  122
  40   33    1    2   12   3 2021  123
  40   38    2    1   12   2 2021  124
  40   32    2    1   12   2 2021  125
-100   41    2    2 -100 -97 2021  126
  50   54    2    1   12   1 2021  127
  40 -100 -100    1 -100   2 2021  128
-100   71    2    1 -100   2 2021  130
-100   89    2    1 -100   2 2021  131
   9   63    2    3   11   1 2021  132
-100   73    1    2 -100   2 2021  135
-100   38    2    1 -100   2 2021  136
  40   59    2    1   12   3 2021  137
  36   56    2    1   12   2 2021  138
  50   25    1    1   12   2 2021  139
  40   28    2    1    5   2 2021  140
  40   24    2    1    3   3 2021  142
  40   37    1    1   12   2 2021  143
  40   40    2    1   12   1 2021  144
-100   61    2    1   12   2 2021  145
  15   67    2    1   12   2 2021  146
  40   25    2    3   12   2 2021  147
-100   58    1    1   12   2 2021  148
-100   84    2    1 -100   2 2021  149
-100   68    2    3 -100   2 2021  150
-100   63    2    1   12   3 2021  151
  40   36    2    1   12   3 2021  152
  24   67    1    1   12   1 2021  153
  40   53    2    1   12   2 2021  154
  50   60    2    1  -98   2 2021  155
-100   87    1    1 -100   3 2021  156
-100   74    2    1 -100   1 2021  158
-100   66    2    1    2   2 2021  159
  40   46    2    1   12   2 2021  160
  40   43    1    3   12   3 2021  161
-100 -100    2    2 -100   1 2021  162
-100   49    1    2 -100   3 2021  163
-100   74    1    2 -100   3 2021  164
-100   54    2    2   10   2 2021  165
-100   53    1    1   12   3 2021  166
  50 -100    2    1  -98   2 2021  167
